id,author,title,year,journal,doi,pmid,abstract
1003,"Stiller A., Salm F., Bischoff P., Gastmeier P.",Relationship between hospital ward design and healthcare-associated infection rates: A systematic review and meta-analysis,2016,Antimicrobial Resistance and Infection Control,10.1186/s13756-016-0152-1,,"Background: The influence of the hospital's infrastructure on healthcare-associated colonization and infection rates has thus far infrequently been examined. In this review we examine whether healthcare facility design is a contributing factor to multifaceted infection control strategies. Methods: We searched PubMed/MEDLINE, EMBASE and Cochrane Central Register of Controlled Trials (CENTRAL) from 1990 to December 31st, 2015, with language restriction to English, Spanish, German and French. Results: We identified three studies investigating accessibility of the location of the antiseptic hand rub dispenser. Each of them showed a significant improvement of hand hygiene compliance or agent consumption with the implementation of accessible dispensers near the patient bed. Nine eligible studies evaluated the impact of single-patient rooms on the acquisition of healthcare-associated colonization and infections in comparison to multi-bedrooms or an open ward design. Six of these studies showed a significant benefit of single-patient bedrooms in reducing the healthcare-associated colonization and infection rate, whereas three studies found that single-patient rooms are neither a protective nor risk factor. In meta-analyses, the overall risk ratio for acquisition of healthcare-associated colonization and infection was 0.55 (95% CI: 0.41 to 0.74), for healthcare-associated colonization 0.52 (95% CI: 0.32 to 0.85) and for bacteremia 0.64 (95% CI: 0.53 to 0.76), all in favor of patient care in single-patient bedrooms. Conclusion: Implementation of single-patient rooms and easily accessible hand rub dispensers located near the patient's bed are beneficial for infection control and are useful parts of a multifaceted strategy for reducing healthcare-associated colonization and infections. ? 2016 The Author(s)."
1004,"Tang C., Cui L., Xu Y., Xie L., Sun P., Liu C., Xia W., Liu G.",The incidence and drug resistance of Clostridium difficile infection in Mainland China: A systematic review and meta-analysis,2016,Scientific Reports,10.1038/srep37865,27897206,"It has been widely reported that the incidence and severity of Clostridium difficile infection (CDI) have increased dramatically in North America and Europe. However, little is known about CDI in Mainland China. In this study, we aimed to investigate the incidence of CDI and the main epidemic and drug-resistant strains of C. difficile in Mainland China through meta-analysis of related studies published after the year 2010. A total of 51 eligible studies were included. The pooled incidence of toxigenic C. difficile among patients with diarrhoea was 14% (95% CI = 12-16%). In Mainland China, ST-37 and ST-3 were the most prevalent strains; fortunately, hypervirulent strains, such as ST-1 (BI/NAP1/027) and ST-11 (RT 078), have only occurred sporadically to date. The rates of C. difficile resistance to ciprofloxacin (98.3%; 95% CI = 96.9-99.7%), clindamycin (81.7%; 95% CI = 76.1-87.3%) and erythromycin (80.2%; 95% CI = 73.5-86.9%) are higher than in other counties; however, none of the C. difficile isolates reported in Mainland China were resistant to metronidazole (n/N = 0/960), vancomycin (n/N = 0/960), tigecycline (n/N = 0/41) or piperacillin/tazobactam(n/N = 0/288)."
1005,"Cai Q.-C., Zhao S.-Q., Shi T.-D., Ren H.",Relationship between hepatitis B virus infection and chronic kidney disease in Asian populations: a meta-analysis,2016,Renal Failure,10.1080/0886022X.2016.1229548,27756165,"Purpose: To evaluate the association of Chronic hepatitis B virus (HBV) infection and chronic kidney disease (CKD). Methods: We searched Embase, Grateful Med, Ovid, PubMed, and the China Biological Medicine Database. A meta-analysis was performed to assess whether HBV infection plays an independent impact on the development of CKD in the general population. Relative risks of CKD (defined as reduced glomerular filtration rate or proteinuria) according to HBsAg serologic status were studied. Results: Six eligible clinical studies (189,709 individuals in total) were included in the analysis. There was no association between HBsAg seropositive status and prevalence of CKD, the summary estimate for adjusted relative risk (RR) was 1.16 (95% confidence interval (CI), 0.78, 1.71; p =.46) according to the random-effects model, and between studies heterogeneity was noted (p values by Q test?<0.001). Also, there were no significant associations between positive HBV serologic status and low eGFR (adjusted relative risk, 0.95; 95% CI, 0.72, 1.26; p =.72) or proteinuria (adjusted relative risk, 1.00; 95% CI, 0.83, 1.20; p =.99). Conclusions: This meta-analysis shows that there was no association between exposure to HBV and the risk of developing CKD in Asian populations. ? 2016 Informa UK Limited, trading as Taylor & Francis Group."
1006,"Afonso E., Blot K., Blot S.",Prevention of hospital-acquired bloodstream infections through chlorhexidine gluconate-impregnated washcloth bathing in intensive care units: A systematic review and meta-analysis of randomised crossover trials,2016,Eurosurveillance,10.2807/1560-7917.ES.2016.21.46.30400,27918269,"We assessed the impact of 2% daily patient bathing with chlorhexidine gluconate (CHG) washcloths on the incidence of hospital-acquired (HA) and central lineassociated (CLA) bloodstream infections (BSI) in intensive care units (ICUs). We searched randomised studies in Medline, EMBASE, Cochrane Library (CENTRAL) and Web of Science databases up to April 2015. Primary outcomes were total HABSI, central line, and noncentral line-associated BSI rates per patient-days. Secondary outcomes included Gram-negative and Gram-positive BSI rates and adverse events. Four randomised crossover trials involved 25 ICUs and 22,850 patients. Meta-analysis identified a total HABSI rate reduction (odds ratio (OR): 0.74; 95% confidence interval (CI): 0.60–0.90; p = 0.002) with moderate heterogeneity (I2 = 36%). Subgroup analysis identified significantly stronger rate reductions (p = 0.01) for CLABSI (OR: 0.50; 95% CI: 0.35–0.71; p &lt; 0.001) than other HABSI (OR: 0.82; 95% CI: 0.70–0.97; p = 0.02) with low heterogeneity (I2 = 0%). This effect was evident in the Gram-positive subgroup (OR: 0.55; 95% CI: 0.31–0.99; p = 0.05), but became non-significant after removal of a high-risk-of-bias study. Sensitivity analysis revealed that the intervention effect remained significant for total and central line-associated HABSI. We suggest that use of CHG washcloths prevents HABSI and CLABSI in ICUs, possibly due to the reduction in Gram-positive skin commensals. ? 2016, European Centre for Disease Prevention and Control (ECDC). All rights reserved."
1007,"Lehrnbecher T., Robinson P.D., Fisher B.T., Castagnola E., Groll A.H., Steinbach W.J., Zaoutis T.E., Negeri Z.F., Beyene J., Phillips B., Sung L.","Galactomannan, β-D-Glucan, and Polymerase Chain Reaction-Based Assays for the Diagnosis of Invasive Fungal Disease in Pediatric Cancer and Hematopoietic Stem Cell Transplantation: A Systematic Review and Meta-Analysis",2016,Clinical Infectious Diseases,10.1093/cid/ciw592,27567122,"We systematically reviewed and analyzed the available data for galactomannan (GM), β-D-glucan (BG), and polymerase chain reaction (PCR)-based assays to detect invasive fungal disease (IFD) in patients with pediatric cancer or undergoing hematopoietic stem cell transplantation when used as screening tools during immunosuppression or as diagnostic tests in patients presenting with symptoms such as fever during neutropenia (FN). Of 1532 studies screened, 25 studies reported on GM (n = 19), BG (n = 3), and PCR (n = 11). All fungal biomarkers demonstrated highly variable sensitivity, specificity, and positive predictive values, and these were generally poor in both clinical settings. GM negative predictive values were high, ranging from 85% to 100% for screening and 70% to 100% in the diagnostic setting, but failure to identify non-Aspergillus molds limits its usefulness. Future work could focus on the usefulness of combinations of fungal biomarkers in pediatric cancer and HSCT. ? The Author 2016."
1008,"Isenor J.E., Edwards N.T., Alia T.A., Slayter K.L., MacDougall D.M., McNeil S.A., Bowles S.K.",Impact of pharmacists as immunizers on vaccination rates: A systematic review and meta-analysis,2016,Vaccine,10.1016/j.vaccine.2016.08.085,27765379,"Background Underutilization of vaccination programs remains a significant public health concern. Pharmacists serve as educators, facilitators, and in some jurisdictions, as administrators of vaccines. Though pharmacists have been involved with immunizations in various ways for many years, there has yet to be a systematic review assessing the impact of pharmacists as immunizers in these three roles. Objective To complete a systematic review of the literature on the impact of pharmacists as educators, facilitators, and administrators of vaccines on immunization rates. Methods We identified 2825 articles searching the following databases from inception until October 2015: PubMed, EMBASE, Cochrane Libraries, Cumulative Index to Nursing and Allied Health Literature, International Pharmaceutical Abstracts, Google Scholar. Grey literature was identified through use of the Canadian Agency for Drugs and Technology in Health “Grey Matters” search tool. Content from relevant journals and references of included studies were also searched. Inclusion criteria were clinical or epidemiologic studies in which pharmacists were involved in the immunization process. Studies were excluded if no comparator was reported. Two reviewers independently completed data extraction and bias assessments using standardized forms. Results Thirty-six studies were included in the review, 22 assessed the role of pharmacists as educators and/or facilitators and 14 assessed their role as administrators of vaccines. All studies reviewed found an increase in vaccine coverage when pharmacists were involved in the immunization process, regardless of role (educator, facilitator, administrator) or vaccine administered (e.g., influenza, pneumococcal), when compared to vaccine provision by traditional providers without pharmacist involvement. Limitations of the results include the large number of non-randomized trials and the heterogeneity between study designs. Conclusions Pharmacist involvement in immunization, whether as educators, facilitators, or administrators of vaccines, resulted in increased uptake of immunizations. PROSPERO Registration: CRD42013005067. ? 2016 Elsevier Ltd"
1009,"Possenti A., Manzano-Rom?n R., S?nchez-Ovejero C., Boufana B., La Torre G., Siles-Lucas M., Casulli A.",Potential Risk Factors Associated with Human Cystic Echinococcosis: Systematic Review and Meta-analysis,2016,PLoS Neglected Tropical Diseases,10.1371/journal.pntd.0005114,27820824,"Background: Scientific literature on cystic echinococcosis (CE) reporting data on risk factors is limited and to the best of our knowledge, no global evaluation of human CE risk factors has to date been performed. This systematic review (SR) summarizes available data on statistically relevant potential risk factors (PRFs) associated with human CE. Methodology/Principal Findings: Database searches identified 1,367 papers, of which thirty-seven were eligible for inclusion. Of these, eight and twenty-nine were case-control and cross-sectional studies, respectively. Among the eligible papers, twenty-one were included in the meta-analyses. Pooled odds ratio (OR) were used as a measure of effect and separately analysed for the two study designs. PRFs derived from case-control studies that were significantly associated with higher odds of outcome were “dog free to roam” (OR 5.23; 95% CI 2.45–11.14), “feeding dogs with viscera” (OR 4.69; 95% CI 3.02–7.29), “slaughter at home” (OR 4.67; 95% CI 2.02–10.78) or at “slaughterhouses” (OR 2.7; 95% CI 1.15–6.3), “dog ownership” (OR 3.54; 95% CI 1.27–9.85), “living in rural areas” (OR 1.83; 95% CI 1.16–2.9) and “low income” (OR 1.68; 95% CI 1.02–2.76). Statistically significant PRFs from cross-sectional studies with higher odds of outcome were “age >16 years” (OR 6.08; 95% CI 4.05–9.13), “living in rural areas” (OR 2.26; 95% CI 1.41–3.61), “being female” (OR 1.38; 95% CI 1.06–1.8) and “dog ownership” (OR 1.37; 95% CI 1.01–1.86). Conclusions/Significance: Living in endemic rural areas, in which free roaming dogs have access to offal and being a dog-owner, seem to be among the most significant PRFs for acquiring this parasitic infection. Results of data analysed here may contribute to our understanding of the PRFs for CE and may potentially be useful in planning community interventions aimed at controlling CE in endemic areas. ? 2016 Possenti et al."
1010,"Ye C.-Y., Liu A., Xu M.-Y., Nonso N.S., He R.-X.",Arthroplasty versus internal fixation for displaced intracapsular femoral neck fracture in the elderly: Systematic review and meta-analysis of short- and long-term effectiveness,2016,Chinese Medical Journal,10.4103/0366-6999.192788,27779172,"Background: There is conflicting evidence as to whether the femoral head should be preserved or replaced in elderly patients with displaced intracapsular femoral neck fractures. In this article,we performed a systematic review and meta-analysis to compare the short- and long-term effectiveness of arthroplasty (AR) and internal fixation (IF). Methods: PubMed,Embase,and the Cochrane Library were searched systematically up to January 2016. All randomized controlled trials directly comparing the effectiveness of AR and IF for displaced intracapsular fracture were retrieved with no limitation on language or publication year. Results: In total,eight prospective randomized studies involving 2206 patients were included. The results of our study showed that patients in the AR group reported significantly lower complication (risk ratio: 0.56,95% confidence interval [CI] = 0.38–0.80),re-operation (risk ratio: 0.17,95% CI = 0.13–0.22),revision rates (risk ratio: 0.11,95% CI: 0.08–0.16),and better function compared with their IF counterparts,and they were less likely to suffer postoperative pain. No statistically significant differences for the rates of mortality,infection,and/or deep vein thrombosis between AR and IF were found. Conclusions: Based on our analysis,we recommend that AR should be used as the primary treatment for displaced intracapsular femoral neck fractures in the elderly. However,IF may be appropriate for those who are very frail. ? 2016 Chinese Medical Journal."
1011,"Wang H.-L., Lu X., Yang X., Xu N.",Association of MBL2 exon1 polymorphisms with high-risk human papillomavirus infection and cervical cancers: a meta-analysis,2016,Archives of Gynecology and Obstetrics,10.1007/s00404-016-4201-z,27619685,"Purpose: High-risk human papillomavirus (HR-HPV) infection is the main known cause of cervical cancer. Mannose-binding lectin (MBL) is a recognition molecule that mediates phagocytosis and activates complement. Methods: We performed a meta-analysis to investigate the association of MBL-2 functional polymorphisms with HPV infection and cervical cancer (CC). Results: The meta-analyses indicated an association between the MBL2 exon 1 polymorphisms and susceptibility to HPV infection in the recessive model (OO vs. AA?+?AO, p?=?0.042, 95?% CI 1.02–3.15), and O/O vs. A/A mode (P?=?0.023, 95?% CI 1.10–3.40) in Caucasian. Meanwhile, there was a significant association between MBL2 exon 1 polymorphisms and cervical cancer risk in AO vs. AA model (p?=?0.035, 95?% CI 1.03–2.26), and Allelic model (O vs. A, p?=?0.022, 95?% CI 1.05–1.96) as compared to HR-HPV-infected patients with CC vs. healthy controls in Caucasian. In addition, no an association was observed between MBL2 -550 H/L and -221 X/Y polymorphisms and HPV infection among Caucasians, but we found an association between the MBL2 -550 H/L polymorphism and susceptibility to HR-HPV infection in recessive model (HH vs. LL?+?LH, p?=?0.003, 95?% CI 1.18–2.23), HH vs. LL model (p?=?0.021, 95?% CI 1.07–2.19), and allelic model(H vs. L, p?=?0.042, 95?% CI 1.01–1.40) in Asians. Conclusions: Collectively, we suggest that the MBL2 gene exon1 polymorphisms are associated with increased risk of high-risk HPV infection and cervical cancer development among Caucasians. Additionally, no significant association was found between the MBL2 -550 H/L or -221 X/Y polymorphisms and HPV infection in Caucasians, but there may be potential links in Asians. ? 2016, Springer-Verlag Berlin Heidelberg."
1012,"Price J.R., Guran L.A., Gregory W.T., McDonagh M.S.",Nitrofurantoin vs other prophylactic agents in reducing recurrent urinary tract infections in?adult women: a systematic review and?meta-analysis,2016,American Journal of Obstetrics and Gynecology,10.1016/j.ajog.2016.07.040,27457111,"Background The clinical and financial burden from bladder infections is significant. Daily antibiotic use is the recommended strategy for recurrent urinary tract infection prevention. Increasing antibiotic resistance rates, however, require immediate identification of innovative alternative prophylactic therapies. This systematic review aims to provide guidance on gaps in evidence to guide future research. Objective The objective of this review was to provide current pooled estimates of randomized control trials comparing the effects of nitrofurantoin vs other agents in reducing recurrent urinary tract infections in adult, nonpregnant women and assess relative adverse side effects. Data Sources Data sources included the following: MEDLINE, Jan. 1, 1946, to Jan. 31, 2015; Cochrane Central Register of Controlled Trials the Cochrane Database of Systematic Reviews, and web sites of the National Institute for Clinical Excellence, and the National Guideline Clearinghouse from 2000 to 2015. Randomized control trials of women with recurrent urinary tract infections comparing nitrofurantoin with any other treatment were included. Study Design A protocol for the study was developed a priori. Published guidance was followed for assessment of study quality. All meta-analyses were performed using random-effects models with Stats Direct Software. Dual review was used for all decisions and data abstraction. Results Twelve randomized control trials involving 1063 patients were included. One study that had a serious flaw was rated poor in quality, one study rated good, and the remainder fair. No significant differences in prophylactic antibiotic treatment with nitrofurantoin and norfloxacin, trimethoprim, sulfamethoxazole/trimethoprim, methamine hippurate, estriol, or cefaclor were found in clinical or microbiological cure in adult nonpregnant women with recurrent urinary tract infections (9 randomized control trials, 673 patients, relative risk ratio, 1.06; 95% confidence interval, 0.89–1.27; I2, 65%; and 12 randomized control trials, 1063 patients, relative risk ratio, 1.06; 95% confidence interval, 0.90–1.26; I2, 76%, respectively). Duration of prophylaxis also did not have a significant impact on outcomes. There was a statistically significant difference in overall adverse effects, with nitrofurantoin resulting in greater risk than other prophylactic treatments (10 randomized control trials, 948 patients, relative risk ratio, 2.17; 95% confidence interval, 1.34–3.50; I2, 61%). Overall, the majority of nitrofurantoin adverse effects were gastrointestinal, with a significant difference for withdrawals (12 randomized control trials, 1063 patients, relative risk ratio, 2.14; 95% confidence interval, 1.28–3.56; I2, 8%). Conclusion Nitrofurantoin had similar efficacy but a greater risk of adverse events than other prophylactic treatments. Balancing the risks of adverse events, particularly gastrointestinal symptoms, with potential benefits of decreasing collateral ecological damage should be considered if selecting nitrofurantoin. ? 2016 Elsevier Inc."
1013,"Fei Q., Li J., Lin J., Li D., Wang B., Meng H., Wang Q., Su N., Yang Y.",Risk Factors for Surgical Site Infection After Spinal Surgery: A Meta-Analysis,2016,World Neurosurgery,10.1016/j.wneu.2015.05.059,26054871,"Background Surgical-site infection (SSI) after spinal surgery is the most common complication, which results in greater morbidity, mortality, and health care costs. Identifying risk factors of SSI is an important point for preventive strategies to reduce the incidence of SSI. The aim of this meta-analysis is to investigate the most important risk factors for SSI after spinal surgery. Methods PubMed, Embase, and Web of Science were systematically searched to identify cohort or case-control studies that investigated the risk factors for SSI following spinal surgery. A fixed-effects or random-effects model was used to pool the estimates, depending on the heterogeneity among the included studies. Heterogeneity between the studies was assessed by I2 and Cochran's Q test. Results Twelve studies with a total of 13,476 patients met the inclusion criteria were included in this meta-analysis. Of them, 1 was a nested case-control studies, 7 were case-control studies, and 4 were cohort studies. The most important predictors of SSI were diabetes (risk ratio [RR] = 2.22, 95% confidence interval [95% CI] 1.38–3.60; P = 0.001), prolonged operative times (&gt;3 hours) (RR = 2.16, 95% CI 1.12–4.19; P = 0.009), body mass index more than 35 (RR = 2.36, 95% CI 1.47–3.80; P = 0.000), and posterior approach (RR = 1.22, 95% CI 1.05–1.41; P = 0.009). Conclusion Diabetes, prolonged operative times (&gt;3 hours), body mass index more than 35, posterior approach, and number of intervertebral levels (?7) are associated with an increased risk of SSI after spinal surgery. Almost all these risk factors are in line with the known risk factors for SSI in patients who underwent spinal surgery. ? 2015 Elsevier Inc."
1014,"Keane E., Funk A.L., Shimakawa Y.",Systematic review with meta-analysis: the risk of mother-to-child transmission of hepatitis B virus infection in sub-Saharan Africa,2016,Alimentary Pharmacology and Therapeutics,10.1111/apt.13795,27630001,"Background: The risk of mother-to-child transmission of hepatitis B virus (HBV) has been quoted as 70–90% among women positive for hepatitis B surface antigen (HBsAg) and e antigen (HBeAg), and 5–30% among HBsAg-positive HBeAg-negative women. These risks are derived from Asia; little is known about sub-Saharan Africa. Aim: To determine the risk of mother-to-child transmission in sub-Saharan Africa, according to maternal HBeAg and type of prophylaxis. Methods: We searched Medline, Global Health, Embase, African Journals Online and African Index Medicus. We included observational or interventional studies that enrolled infants of HBV-infected women, and that tested for HBsAg or HBV DNA between 3 and 12 months of age. Results: Fifteen articles from 11 African countries were included. Among HBeAg-positive women, the pooled risk was 38.3% (95% CI: 7.0–74.4%) without prophylaxis, which was significantly lower than the lower bound of 70–90% risk in the literature (P = 0.007). Among HBeAg-negative women, the pooled risk was 4.8% (95% CI: 0.1–13.3%) without prophylaxis, which lays within the lower range of the 5–30% risk in Asia. By extrapolating the pooled transmission risks to the number of births to infectious mothers, an estimated 1% of newborns (n = 367 250) are annually infected with HBV at birth in sub-Saharan Africa. Conclusions: Compared to Asia, the risk of mother-to-child transmission is low in sub-Saharan Africa. However, the annual number of infants perinatally infected with HBV is twice the number of incident paediatric HIV infections in sub-Saharan Africa (n = 190 000). This highlights the importance of preventing mother-to-child transmission of HBV in sub-Saharan Africa, which has been long neglected. ? 2016 John Wiley & Sons Ltd"
1015,"Lang P.M., Jacinto R.C., Dal Pizzol T.S., Ferreira M.B.C., Montagner F.",Resistance profiles to antimicrobial agents in bacteria isolated from acute endodontic infections: systematic review and meta-analysis,2016,International Journal of Antimicrobial Agents,10.1016/j.ijantimicag.2016.08.018,27742205,"Infected root canal or acute apical abscess exudates can harbour several species, including Fusobacterium, Porphyromonas, Prevotella, Parvimonas, Streptococcus, Treponema, Olsenella and not-yet cultivable species. A systematic review and meta-analysis was performed to assess resistance rates to antimicrobial agents in clinical studies that isolated bacteria from acute endodontic infections. Electronic databases and the grey literature were searched up to May 2015. Clinical studies in humans evaluating the antimicrobial resistance of primary acute endodontic infection isolates were included. PRISMA guidelines were followed. A random-effect meta-analysis was employed. The outcome was described as the pooled resistance rates for each antimicrobial agent. Heterogeneity and sensitivity analyses were performed. Subgroup analyses were conducted based upon report or not of the use of antibiotics prior to sampling as an exclusion factor (subgroups A and B, respectively). Data from seven studies were extracted. Resistance rates for 15 different antimicrobial agents were evaluated (range, 3.5–40.0%). Lower resistance rates were observed for amoxicillin/clavulanic acid and amoxicillin; higher resistance rates were detected for tetracycline. Resistance rates varied according to previous use of an antimicrobial agent as demonstrated by the subgroup analyses. Heterogeneity was observed for the resistance profiles of penicillin G in subgroup A and for amoxicillin, clindamycin, metronidazole and tetracycline in subgroup B. Sensitivity analyses demonstrated that resistance rates changed for metronidazole, clindamycin, tetracycline and amoxicillin. These findings suggest that clinical isolates had low resistance to β-lactams. Further well-designed studies are needed to clarify whether the differences in susceptibility among the antimicrobial agents may influence clinical responses to treatment. ? 2016 Elsevier B.V. and International Society of Chemotherapy"
1016,"Phillips N., Amos T., Kuo C., Hoare J., Ipser J., Thomas K.G.F., Stein D.J.",HIV-associated cognitive impairment in perinatally infected children: A meta-analysis,2016,Pediatrics,10.1542/peds.2016-0893,27940772,"CONTEXT: Research shows, conclusively, that perinatal HIV infection has negative effects on cognitive functioning of children and adolescents. However, the extent of these cognitive impairments is unknown. Current literature does not document specific cognitive domains most affected in HIV-infected children and adolescents. OBJECTIVE: To systematically review and meta-analyze the degree of cognitive impairment, and the specific cognitive domains affected, in children and adolescents with perinatally acquired HIV infection. DATA SOURCES: We systematically searched 5 electronic bibliographic databases, namely: PubMed, PsychINFO, Academic Search Premier, Scopus, and WorldCat, by using a search protocol specifically designed for this study. STUDY SELECTION: Studies were selected on the basis of set a priori eligibility criteria. Titles, abstracts, and full texts were assessed by 2 independent reviewers. DATA EXTRACTION: Data from included studies were extracted into Microsoft Excel by 2 independent reviewers. RESULTS: Twenty-two studies were identified for inclusion in the systematic review and of this, 6 studies were included in the meta-analysis. Results from the meta-analysis indicated that working memory and executive function were the domains most affected by the HIV virus. LIMITATIONS: Only 27% of the included studies were suitable to enter into the meta-analysis. There was significant geographic bias in published studies, with only 32% (7/22) of included studies from sub-Saharan Africa. CONCLUSIONS: The evidence supports an association between HIV infection in children and adolescents and cognitive impairment in the domains of working memory, executive function and processing speed, with effect size estimates also providing some support for deficits in visual memory and visual-spatial ability. Copyright ? 2016 by the American Academy of Pediatrics."
1017,"Sobti N., Liao E.C.",Surgeon-Controlled Study and Meta-Analysis Comparing FlexHD and AlloDerm in Immediate Breast Reconstruction Outcomes,2016,Plastic and Reconstructive Surgery,10.1097/PRS.0000000000002616,27782982,"Background: The use of acellular dermal matrix has facilitated immediate prosthesis-based breast reconstruction. However, few studies directly compare surgical outcomes following acellular dermal matrix-based reconstruction with two of the most commonly available materials, AlloDerm and FlexHD. Those studies that are available often do not adequately control for the surgeon as a variable. The authors hypothesize that complication rates will not differ significantly between AlloDerm and FlexHD when practice and surgeon variables are properly controlled. Methods: Retrospective review was conducted to identify consecutive implant-based reconstruction procedures performed at a tertiary academic medical institution by a single plastic surgeon over 6 years. Univariate and binomial regression analyses were conducted to compare patient characteristics and clinical endpoints across acellular dermal matrix groups (AlloDerm/AlloDerm ready-to-use versus FlexHD Pliable/Perforated). Results: Of the 233 patients that underwent matrix-based breast reconstruction, 11 (4.7 percent) developed surgical-site infection. The infection rate was not statistically different between patients who received FlexHD [n = 5 (5.0 percent)] versus AlloDerm [n = 6 (4.6 percent)] on either univariate (p = 0.89) or binomial regression analysis (p = 0.56). Likewise, there were no statistical differences in rates of seroma, hematoma, explantation, or delayed wound healing. Conclusions: Clinical endpoints of interest were all equivalent between acellular dermal matrix types. This study uniquely reports a single-surgeon case series comparing outcomes between different acellular dermal matrix types. Instead of focusing on acellular dermal matrix as a predictor of outcome, other patient and surgeon factors should be addressed to improve results and innovate better alternatives. Copyright ? 2016 by the American Society of Plastic Surgeons."
1018,"Atema J.J., de Vries F.E.E., Boermeester M.A.",Systematic review and meta-analysis of the repair of potentially contaminated and contaminated abdominal wall defects,2016,American Journal of Surgery,10.1016/j.amjsurg.2016.05.003,27443425,"Background Repair of contaminated abdominal wall defects entails the dilemma of choosing between synthetic material, with its presumed risk of surgical site complications, and biologic material, a costly alternative with questionable durability. Data sources Thirty-two studies published between January 1990 and June 2015 on repair of (potentially) contaminated hernias with ?25 patients were reviewed. Fifteen studies solely described hernia repair with biologic mesh, 6 nonabsorbable synthetic meshes, and 11 described various techniques. Surgical site complications and hernia recurrence rates were evaluated per degree of contamination and mesh type by calculating pooled proportions. Conclusions Analysis showed no benefit of biologic over synthetic mesh for repair of potentially contaminated hernias with comparable surgical site complication rates and a hernia recurrence rate of 9% for biologic and 9% for synthetic repair. Biologic mesh repair of contaminated defects showed considerable higher rates of surgical site complications and a hernia recurrence rate of 30%. As only 1 study on synthetic repair of contaminated hernias was available, surgical decision making in the approach of contaminated abdominal wall defects is hampered. ? 2016 Elsevier Inc."
1019,"He Q.-F., Zhang Q.-F., Zhang D.-Z.",Efficacy and Safety of Ribavirin with Sofosbuvir Plus Ledipasvir in Patients with Genotype 1 Hepatitis C: A Meta-Analysis,2016,Digestive Diseases and Sciences,10.1007/s10620-016-4291-2,27619394,"Background: Sofosbuvir and ledipasvir with or without ribavirin (RBV) regimens (SLR vs. SL) have exhibited promising results for the treatment of patients with hepatitis C virus (HCV) genotype 1 infection. Aim: To comprehensively compare the efficacy and safety of the SL and SLR regimen for the treatment of chronic HCV genotype 1 infections. Methods: The Cochrane Library, PubMed, Web of Science, and EMBASE databases were searched. Only RCTs that compared the efficacy and safety of SL or SLR regimen for the treatment of chronic HCV genotype 1 infection were included. The primary outcome measures were the sustained virological response weeks 12 (SVR12) post-treatment and adverse events (AEs). Results: Seven studies comprising 2601 patients were included. Compared with the SL regimen, SLR yielded a similar probability of having an SVR12 (RR 1.002, 95?% CI 0.998, 1.017, P?=?0.780). Based on subgroup analyses, the addition of RBV to the 8-week SL regimen improved the SVR12 rate. However, the SLR regimen for 12 or 24?weeks did not show a superior SVR12 rate regardless of treatment history and the presence or absence of cirrhosis. The pooled incidence of AEs was higher in patients that received the SLR treatment regimen (RR 1.140, 95?% CI 1.095, 1.187, P?=?0.000). Conclusions: The 12-week or 24-week SL regimen with a low incidence of AEs is as effective and well tolerated as the SLR regimen for the treatment of patients with chronic HCV genotype 1 infection. ? 2016, The Author(s)."
1020,"Lee Y.-K., Yoon B.-H., Choi Y.S., Jo W.-L., Ha Y.-C., Koo K.-H.",Metal on Metal or Ceramic on Ceramic for Cementless Total Hip Arthroplasty: A Meta-Analysis,2016,Journal of Arthroplasty,10.1016/j.arth.2016.04.014,27215192,"Background Hard bearings, metal on metal (MOM) and ceramic on ceramic (COC), have been developed to overcome polyethylene wear-related osteolysis, but comparisons between these 2 hard bearings are limited. We performed a meta-analysis to determine revision rates for (1) any reason, (2) aseptic loosening, (3) periprosthetic joint infection (PJI), and (4) recurrent dislocation between MOM and COC bearings in cementless total hip arthroplasty. Methods This analysis included 3 studies comparing COC and MOM bearings and 56 studies reporting outcomes of MOM or COC bearings. We conducted a comparison meta-analysis (with a fixed-effects model) on the 3 comparative studies and a proportional meta-analysis on the data from the 59 articles to determine a consensus. Results In the comparison meta-analysis, MOM showed higher revision rate than COC for any reason (odds ratio?= 2.39, P?=.046) and PJI (odds ratio?= 6.21, P?=.015). In the proportion meta-analysis, the MOM group showed significantly higher revision rate than COC group for any reason, aseptic loosening, and PJI. Conclusion MOM bearings were associated with a higher risk of revision for any reason and PJI than COC bearings after cementless total hip arthroplasty. ? 2016 Elsevier Inc."
